date,sales
2018-01-31,22245
2018-02-28,22511
2018-03-31,24212
2018-04-30,25244
2018-05-31,21630
2018-06-30,20251
2018-07-31,21591
2018-08-31,19396
2018-09-30,17259
2018-10-31,19300
2018-11-30,19009
2018-12-31,20626
2019-01-31,23308
2019-02-28,21294
2019-03-31,22099
2019-04-30,23561
2019-05-31,21908
2019-06-30,22519
2019-07-31,19306
2019-08-31,17572
2019-09-30,21608
2019-10-31,19593
2019-11-30,21251
2019-12-31,20633
2020-01-31,23574
2020-02-29,25776
2020-03-31,24406
2020-04-30,26414
2020-05-31,23972
2020-06-30,23056
2020-07-31,21211
2020-08-31,23915
2020-09-30,20835
2020-10-31,19791
2020-11-30,23830
2020-12-31,22385
2021-01-31,26150
2021-02-28,24116
2021-03-31,25586
2021-04-30,27592
2021-05-31,27426
2021-06-30,25196
2021-07-31,23386
2021-08-31,22130
2021-09-30,20083
2021-10-31,21743
2021-11-30,23351
2021-12-31,27248
2022-01-31,27798
2022-02-28,25857
2022-03-31,29510
2022-04-30,28165
2022-05-31,26749
2022-06-30,27303
2022-07-31,26552
2022-08-31,25425
2022-09-30,22488
2022-10-31,23805
2022-11-30,25984
2022-12-31,28571
2023-01-31,28010
2023-02-28,29668
2023-03-31,28810
2023-04-30,28394
2023-05-31,30429
2023-06-30,29865
2023-07-31,26343
2023-08-31,26979
2023-09-30,25735
2023-10-31,24747
2023-11-30,27475
2023-12-31,30861
2024-01-31,30120
2024-02-29,33740
2024-03-31,27986
2024-04-30,32867
2024-05-31,30787
2024-06-30,28828
2024-07-31,28035
2024-08-31,23938
2024-09-30,26309
2024-10-31,27696
2024-11-30,30596
2024-12-31,29222
